排名,學校名稱,總分,本國學生,跨國學位,國際學生,國際教師,國際合著
,,,出國交流數,合作校數,比例,比例,論文比例
1,國立臺灣大學,100,77.97,82.26,61.24,66.71,100
2,淡江大學,97.09,83.77,77.89,76.6,76.42,83.09
3,國立政治大學,95.12,81.73,85.41,76.88,77.8,76.37
4,國立交通大學,87.87,75.73,80.62,75.08,100,56.84
5,逢甲大學,86.63,77.37,77.13,61.41,100,60.55
6,國立清華大學,84.43,85.51,79.41,69.4,86.13,54.51
7,文藻外語大學,81.07,97.66,60.54,100,50.06,51.65
8,靜宜大學,80.76,76.32,67.52,80.21,62.54,59.34
9,國立臺灣師範大學,80.56,74.29,85.01,62.36,76.42,55.31
10,國立臺灣科技大學,80,72.42,100,75.71,61.16,50.16
11,東海大學,79.99,72.76,73.02,85.3,69.48,52.17
12,實踐大學,79.61,95.97,67.09,78.78,70.87,47.3
13,銘傳大學,79.11,65.65,91.05,73.42,65.32,53.14
14,輔仁大學,79.06,58.71,68.55,73.46,73.64,60.06
15,中華大學,78.64,83.11,64.42,53.17,75.03,59.74
16,中國文化大學,78.58,66.61,69.21,65.38,72.25,59.9
17,臺北醫學大學,77.87,65.98,89.88,51.66,66.71,59.3
18,國立成功大學,77.24,67.38,80.43,54.25,87.51,51.33
19,亞洲大學,76.93,78.04,62.56,64.74,66.71,57.21
20,國立中山大學,76.77,77.26,70.12,80.1,59.77,50.93
