排名,學校名稱,總分,傑出校友,學校總經費,學生平均,註冊率,生師比
,,,人數,,經費,,
1,國立臺灣大學,100,100,82.98,87.06,88.38,100
2,國立成功大學,66.65,67.44,72.78,86.68,87.34,53.08
3,國立交通大學,62.16,55.64,72.71,80.41,91.86,49.05
4,國立清華大學,59.49,53.87,65.23,77.31,92.88,46.85
5,臺北醫學大學,59.22,49.74,99.85,100,94.6,35.85
6,國立中興大學,56.88,51.23,64.81,84.03,89.27,42.45
7,國立臺灣師範大學,56.36,54.4,67.95,83.59,87.75,40.25
8,中國醫藥大學,55.96,51.57,94.23,86.36,84.89,34.76
9,長庚大學,55.96,52.46,100,94.64,68.08,34.39
10,國立中央大學,54.77,51.32,71.9,83.72,86.5,37.69
11,國立陽明大學,54.47,42.21,88.74,97.5,70.67,36.22
12,國立政治大學,53.99,47.81,57.77,73.64,89.26,41.72
13,高雄醫學大學,53.43,45.03,78.73,94.32,63.94,37.32
14,國立臺北科技大學,52.62,43.24,55.54,73.67,80.72,42.45
15,國立中山大學,51.86,45.87,68.91,82.87,82.98,35.49
16,國立臺灣科技大學,50.13,44.1,60.51,68.89,94.35,35.49
17,逢甲大學,49.93,49.69,55.16,51.63,83.13,39.52
18,輔仁大學,49.67,50.76,52.22,50.71,78.52,40.25
19,國立臺灣海洋大學,49.42,41.7,61.39,79.49,77.32,35.49
20,國立高雄科技大學,49.24,50.93,52.09,61.17,91.86,35.49
